,Unnamed: 0,id_left,brand_left,title_left,description_left,price_left,priceCurrency_left,specTableContent_left,cluster_id_left,id_right,brand_right,title_right,description_right,price_right,priceCurrency_right,specTableContent_right,cluster_id_right,pair_id,label,is_hard_negative,roberta-base_logits,roberta-base_prediction,rsupcon-base_logits,rsupcon-base_prediction,chatbot_response,chatbot_response_raw,chatbot_question
0,1840,98621092,,TAG Heuer Monaco Chronograph Calibre 11 Automatic,"Design inspired by the watch worn by Steve McQueen in the 1970 film 'Le Mans' Series: Monaco Chronograph, Model: Calibre 11, Gender: Men's Watches, Movement: Automatic, Features: , Dial: Blue, Strap: Black Perforated Leather, Clasp:Deployment/ Folding,Case: Brushed & Polished Stainless Steel/ Glass Back, Case Size: 39mm, Case Thickness: mm, Water Resistant:100m","£4,195.00",,,556904,2004031,,TAG Heuer Men's Special Edition Heuer Monaco Watch,"TAG Heuer Monaco Stainless Steel Blue Mens Watch CAW211P.FC6356 is befittingly iconic, dare to be non-traditional with this innovative timepiece. Defying the traditional looking round shaped wristwatch TAG Heuer introduced the Monaco collection featuring a contrasting yet distinctive square water resistant case. This pioneering collection presented the worlds first square automatic chronograph. Timepieces in this series encapsulates the power and speed of a motor racing car. Indeed the Monaco still remains a truly remarkable collection and audacious in its own right.",5250,GBP,,556904,98621092#2004031,1,False,"[3.7184028625, -4.1772656441]",0,[1.0],1,"No,","{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No,"",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336560,
  ""id"": ""chatcmpl-78osaCt7saDr87RFeUTZPxOk4yHor"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 87,
    ""total_tokens"": 89
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': ""product 1: TAG Heuer Monaco Chronograph Calibre 11 Automatic, product 2: TAG Heuer Men's Special Edition Heuer Monaco Watch""}]"
1,710,47887901,,"Apple AirPods (2nd Generation) Bluetooth Earbuds w/ Wireless Charging Case, White (MRXJ2AM/A)","Staples.com: Apple AirPods MRXJ2AM/A In the Ear Bluetooth Earbuds, White with fast and free shipping on select orders.",199,USD,,1994510,49097388,,Apple In-Ear Wireless Airpods with Charging Case - White-MV7N2ZM/A,"Top features:- Completely wireless headphones sense when they're inside your ears- Tap either AirPod to activate Siri for hands-free control- Five hours listening on a single charge, or 24 hours via the charging case- Seamlessly switch listening between Apple devicesWireless headphonesThe AppleAirPods Wireless Bluetooth Headphonesprovide the same great audio performance of Apple EarPods without any wires to tangle you up.Apple AirPods sense when they are inside your ears, and pause audio when they're not so you don't have to worry about missing out on any of your favourite music when you take them out.Tap to activate SiriAirPodsare not just wireless,",1.79E2,EUR,,767259,47887901#49097388,0,True,"[-1.7439045906000001, 1.717010498]",1,[0.0],0,No.,"{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336561,
  ""id"": ""chatcmpl-78osbTh6csA4jAm7cRvsSdaNBRmPB"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 113,
    ""total_tokens"": 115
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: Apple AirPods (2nd Generation) Bluetooth Earbuds w/ Wireless Charging Case, White (MRXJ2AM/A), product 2: Apple In-Ear Wireless Airpods with Charging Case - White-MV7N2ZM/A'}]"
2,2065,60950283,,Fujifilm Instax Square Instant Film - 10 Photos,The Fujifilm Instax Square Instant Film is for use with the Fuji Instax Square SQ10 Camera. This pack of Fuji Instax Square film contains 10 photos and will produce fantastic mini images at 62x62mm on a film size of 86x72mm. You can also write on the white border with non water based pens.,11.99,GBP,,1457721,25935656,,Fujifilm Instax Square Film Black Frame 10 Shots,This pack of 10 colour instant film in square format is designed for the Fujifilm Instax Square SQ6 instant camera. The film boasts the same professional high quality found in all Instax,,,,1118780,60950283#25935656,0,True,"[-2.1758391857, 2.2021055222]",1,[0.0],0,"No,","{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No,"",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336561,
  ""id"": ""chatcmpl-78osbErMDsEoq5tdnoqhK3hzQxJWs"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 89,
    ""total_tokens"": 91
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: Fujifilm Instax Square Instant Film - 10 Photos, product 2: Fujifilm Instax Square Film Black Frame 10 Shots'}]"
3,3869,435472,,Evans EMAD Clear Bass Drum Head 20 Inch,"20"" drum head made using a single ply of 10mil film. Externally Mounted Adjustable Damping system allows the player to adjust attack and focus. Very versatile head for all music genres; a true working drummer's choice. Also available in a coated version. All Evans drum heads are designed, engineered and manufactured in the USA. .",46.06,USD,,800940,55131100,Evans,Evans Evans EMAD Clear Bass,Evans EMAD Clear Bass,67.99,CAD,,800940,435472#55131100,1,False,"[3.2268047333, -3.6520571709]",0,[1.0],1,No.,"{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336562,
  ""id"": ""chatcmpl-78oscc2Kk39NAOpbOzv3I8FBtKnSU"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 81,
    ""total_tokens"": 83
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: Evans EMAD Clear Bass Drum Head 20 Inch, product 2: Evans Evans EMAD Clear Bass'}]"
4,1787,88641225,,"8GB (2x4GB) HyperX Fury Blue DDR3, 1600MHz, CL10, 1.5V, 240-pin DIMM, kit of 2","8GB (2x4GB) HyperX Fury Blue DDR3, 1600MHz, CL10, 1.5V, 240-pin DIMM, kit of 2",74.99,CAD,,288081,86250508,,DDR3 HyperX Fury Blue - 4 Go 1600 MHz - CAS 10,Mémoire DDR3 - PC-12800 - Low-Profile,28.99,EUR,,836466,88641225#86250508,0,True,"[-2.2421159744, 2.2641017437]",1,[0.0],0,No.,"{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336569,
  ""id"": ""chatcmpl-78osjOI8z1KbiJF0XOQhh5FlSGJSz"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 123,
    ""total_tokens"": 125
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: 8GB (2x4GB) HyperX Fury Blue DDR3, 1600MHz, CL10, 1.5V, 240-pin DIMM, kit of 2, product 2: DDR3 HyperX Fury Blue - 4 Go 1600 MHz - CAS 10'}]"
5,2038,13519118,,"3M - Privacy Filter 19\""\"" WideS","3M Privacy Filter 19\""\"" WideS (PF319W) - Type: Andet tilbehør",2020.00,DKK,,3303908,1533183,,3M - PF19.0 BLACK PRIVACY FILTER FRAMELESS FITS 21IN NOTEBOOK LCD,3M PF19.0 BLACK PRIVACY FILTER FRAMELESS FITS 21IN NOTEBOOK LCD(PF19.0) - Type: Annet Tilbehør,1173.75,NOK,,125058,13519118#1533183,0,True,"[-4.3640899658, 4.6543402672]",1,[0.0],0,0.,"{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""0."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336570,
  ""id"": ""chatcmpl-78oskAAebqfNoid0FQxYiDweXGsQb"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 99,
    ""total_tokens"": 101
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: 3M - Privacy Filter 19\\""\\"" WideS, product 2: 3M - PF19.0 BLACK PRIVACY FILTER FRAMELESS FITS 21IN NOTEBOOK LCD'}]"
6,1369,64399529,,Memoria DDR3 1600Mhz Kit 8GB HyperX Kingston (2x4GB),,"73,58 €",EUR,,288081,14965636,,HyperX Fury DDR3 1600MHz 8GB,"2x4GB 1600MHz (PC3-12800) DDR3 CL10, Sort",350.00,DKK,,702149,64399529#14965636,0,True,"[-3.8145561218, 4.0814938545]",1,[0.0],0,"No,","{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No,"",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336570,
  ""id"": ""chatcmpl-78oskDBxokJ8DKKRhtcBwnTBRVdRy"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 98,
    ""total_tokens"": 100
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: Memoria DDR3 1600Mhz Kit 8GB HyperX Kingston (2x4GB), product 2: HyperX Fury DDR3 1600MHz 8GB'}]"
7,846,29733439,,"Kingston Canvas Select UHS-I, 64 GB",,2.3E1,EUR,,53163,31525711,KINGSTON,Memoire SDXC KINGSTON 64GB Canvas Select microSDHC (microSD) + Adapter SD,Memoire SDXC KINGSTON 64GB Canvas Select microSDHC (microSD) + Adapter SD,14.99,EUR,,53163,29733439#31525711,1,False,"[3.5289504528, -4.0068006516]",0,[1.0],1,Yes.,"{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""Yes."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336572,
  ""id"": ""chatcmpl-78osmvEWQsbgpmrnK9qbUqh8gSDbW"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 97,
    ""total_tokens"": 99
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': 'product 1: Kingston Canvas Select UHS-I, 64 GB, product 2: Memoire SDXC KINGSTON 64GB Canvas Select microSDHC (microSD) + Adapter SD'}]"
8,1797,734004,,"Monitor 27 XUB2792QSU- IPS,ETE PANEL",,1687.70,PLN,,1439932,52295160,,"iiyama 27' ETE, ULTRA SLIM LINE, 2560x1440 WQHD, IPS, 5ms, FreeSync, 13cm height adj. stand, 350cd/m˛, VGA, HDMI, DisplayPort, Speakers,USB-HUB(2x3.0)","27 '' (68.cm) IPS, 2560 x 1440, 350 cd/m2, 5 ms, DVI, HDMI, DisplayPort",239.916001,GBP,,1439932,734004#52295160,1,False,"[3.4674911499, -3.9434027672000003]",0,[1.0],1,"No,","{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""No,"",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336572,
  ""id"": ""chatcmpl-78osmpYNzzeYmrDEG0qOnb0xZQGXq"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 148,
    ""total_tokens"": 150
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': ""product 1: Monitor 27 XUB2792QSU- IPS,ETE PANEL, product 2: iiyama 27' ETE, ULTRA SLIM LINE, 2560x1440 WQHD, IPS, 5ms, FreeSync, 13cm height adj. stand, 350cd/m˛, VGA, HDMI, DisplayPort, Speakers,USB-HUB(2x3.0)""}]"
9,29,56989328,,Traveler's Notebook Refill - Grid,"Midori grid white paper great for capturing scale drawings or simply as a guide. Suitable for pencils, ballpoint pens and fountain pens.Grid 5x5mm,64 pagesMD Paper (Saddle Stitched)H210 x W110 x D4mm",7.00,AUD,,2662935,83491918,,Traveler´s Notebook Refill 002 (Grid Notebook) for Regular Size,GridNotebook for Traveler´s Notebook Regular Size.64 pages.Dimensions: 21x11x0.4cm (8x4.5x0.2in. approx.)See all Traveler's Companyproducts.Made in Japan.,6.00,CAD,,2662935,56989328#83491918,1,False,"[0.5102652907, -0.5963104963]",0,[1.0],1,"Yes,","{
  ""choices"": [
    {
      ""finish_reason"": ""length"",
      ""index"": 0,
      ""message"": {
        ""content"": ""Yes,"",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1682336573,
  ""id"": ""chatcmpl-78osnL5jdPpgaHtfL9mdW4va0h9V9"",
  ""model"": ""gpt-3.5-turbo-0301"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 2,
    ""prompt_tokens"": 88,
    ""total_tokens"": 90
  }
}","[{'role': 'system', 'content': 'You are a helpful assistant that tries to tell if two products are the same. Two products are only the same if all attributes match! Only answer yes or no. 0 means no, 1 means yes.'}, {'role': 'user', 'content': ""product 1: Traveler's Notebook Refill - Grid, product 2: Traveler´s Notebook Refill 002 (Grid Notebook) for Regular Size""}]"
