prompt;correct_asnwer
Do the following two product decriptions match. Answer with yes or no. product 1: Pen Drive SanDisk 64GB Cruzer Glide USB 2.0, product 2: SanDisk 64GB SDIX30N-064G-GN6NN USB 3.0 Flash Drive;0
Do the following two product decriptions match. Answer with yes or no. product 1: PEN DRIVE 16GB KINGSTON USB 3.0 DTIG4/16GB, product 2: Kingston Technology DataTraveler G4 USB flash drive 16 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Blauw, Wit;1
Do the following two product decriptions match. Answer with yes or no. product 1: Relógio Swiss Military Hanowa06-5161.2.04.003 Flagship, product 2: Swiss Military Hanowa 06-4226.30.003.03;0
Do the following two product decriptions match. Answer with yes or no. product 1: Baterie APC Battery kit APCRBC110, product 2: APC Replacement Battery Cartridge #117 (APCRBC117);0
Do the following two product decriptions match. Answer with yes or no. product 1: 2MP 25X Network IR PTZ Camera, product 2: HIKVISION 2MP 25X NETWORK IR SPEED DOME CAMERA DS-2DE5225IW-AE;1
Do the following two product decriptions match. Answer with yes or no. product 1: Ubiquiti UVC-G3-Bullet UniFi IP Bullet Camera, product 2: UniFi Video Camera G3 IR 1080 HD Bullet;0
Do the following two product decriptions match. Answer with yes or no. product 1: Kingston DataTraveler MicroDuo 3C USB Flash Drive 128GB, product 2: Kingston DataTraveler 100 256GB USB 3.0;0
Do the following two product decriptions match. Answer with yes or no. product 1: Daddario 12-53 Phosphor Bronze Light Acoustic Guitar Strings, product 2: Ernie Ball 2222 Hybrid Slinky Electric Guitar Strings 9-46;0
Do the following two product decriptions match. Answer with yes or no. product 1: Logitech H390 Stereo USB PC Computer Headset, product 2: LOGITECH - USB HEADSET H540 IN ACCS;0
Do the following two product decriptions match. Answer with yes or no. product 1: Audio Technica ATH-M50x Professional Monitor Headphones, product 2: Audio Technica ATH-M50x Professional Monitor Audiophile Headphones - White;0
Do the following two product decriptions match. Answer with yes or no. product 1: Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan | Discount Computer Needs, product 2: Corsair Fan ML140 RGB LED PWM Single Pack Magnetic Levitation;0
Do the following two product decriptions match. Answer with yes or no. product 1: Sram Xg-1090, 10Sp Cassette, product 2: SRAM Sram Guide Disc Brake Pads;0
"Do the following two product decriptions match. Answer with yes or no. product 1: RAM Short Double Socket Arm for 1.5\"" Balls (Overall Length: 3.5\""), product 2: RAM Short Double Socket Arm 1\"" Balls";0
Do the following two product decriptions match. Answer with yes or no. product 1: Motherboard Asus ROG STRIX Z390-I GAMING, product 2: ASUSROG STRIX Z390-I GAMING;1
Do the following two product decriptions match. Answer with yes or no. product 1: Epson - magenta - original - ink cartridge, product 2: Genuine Epson C13T865140 Black Extra High Capacity Ink Cartridge (C13T865140);0
Do the following two product decriptions match. Answer with yes or no. product 1: Kingston DDR3 4GB 1600MHz HX316C10F/4, product 2: DDR3 HyperX Fury Blue - 4 Go 1600 MHz - CAS 10;1
Do the following two product decriptions match. Answer with yes or no. product 1: Corsair Vengeance LPX 8GB DDR4-3000 - DIMM, product 2: Memoire DDR4 CORSAIR 8Go DDR4 3000MHz;1
Do the following two product decriptions match. Answer with yes or no. product 1: Swiss Military Hanowa06-4307.30.007 Undercover Multifunction Uhr, product 2: Relógio Swiss Military Hanowa06-5161.2.04.003 Flagship;0
Do the following two product decriptions match. Answer with yes or no. product 1: Jabra BIZ2300 2393-823-109 MONO USB Headset MS, product 2: Jabra Biz 2300 USB UC Duo Binaural Headset2399-823-109;0
